Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/get_method,50,377,157,823,166.68,0.000%,28.07412,5.15,4.06,188.0
/user_info_2,50,530,250,887,150.91,0.000%,23.95783,11.39,18.26,487.0
/user_info_3,50,575,344,1058,139.84,0.000%,22.72727,8.50,17.34,383.0
/object_info_1,50,462,316,712,86.33,0.000%,22.15330,5.37,3.48,248.0
/object_info_2,50,441,284,701,86.02,0.000%,22.91476,10.90,3.65,487.0
/object_info_3,50,403,285,758,78.53,0.000%,25.98753,13.55,4.14,534.0
/object_info_4,50,369,197,736,134.48,0.000%,28.12148,6.95,4.48,253.0
TOTAL,350,451,157,1058,144.15,0.000%,84.01344,30.24,27.66,368.6
