Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/get_method,250,531,208,1018,221.21,0.000%,16.47338,3.02,2.38,188.0
/user_info_2,250,646,307,1228,183.75,0.000%,16.94341,8.06,12.92,487.0
/user_info_3,250,617,265,1172,216.63,0.000%,17.35749,6.49,13.23,383.0
/object_info_1,250,414,196,1364,202.87,0.000%,17.81769,4.32,2.80,248.0
/object_info_2,250,294,179,587,64.31,0.000%,18.07926,8.60,2.88,487.0
/object_info_3,250,300,158,566,74.81,0.000%,18.35940,9.57,2.92,534.0
/object_info_4,250,307,143,858,113.30,0.000%,18.53087,4.58,2.95,253.0
TOTAL,1750,444,143,1364,218.66,0.000%,103.71600,37.33,34.14,368.6
