Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/get_method,500,333,140,714,77.37,0.000%,14.24217,2.61,2.06,188.0
/user_info_2,500,405,184,1005,103.22,0.000%,14.23812,6.77,10.87,487.0
/user_info_3,500,393,176,892,96.36,0.000%,14.29593,5.35,10.91,383.0
/object_info_1,500,376,144,21257,938.00,0.200%,14.38228,3.55,2.26,252.7
/object_info_2,500,319,150,904,80.90,0.000%,14.46676,6.88,2.30,487.0
/object_info_3,500,324,144,726,83.87,0.000%,14.59513,7.61,2.32,534.0
/object_info_4,500,320,142,733,77.17,0.000%,14.68515,3.63,2.34,253.0
TOTAL,3500,353,140,21257,365.21,0.029%,96.82417,34.91,31.89,369.2
