Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
user_info,1,179,179,179,0.00,0.000%,5.58659,2.10,1.53,385.0
new data,1,279,279,279,0.00,0.000%,3.58423,0.83,3.33,238.0
get_test_user,1,253,253,253,0.00,0.000%,3.95257,1.43,3.64,371.0
test_pet_info,1,282,282,282,0.00,0.000%,3.54610,0.78,3.31,226.0
TOTAL,4,248,179,282,41.54,0.000%,11.86944,3.54,9.08,305.0
